                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.851,                 3.7134,                0.97985,                0.00877,                0.06183,                0.03869,                0.01337,                 1.6214,                 3.8269,                0.87977,               0.000225,               0.000225,               0.000225
                      2,                 1.5553,                 1.5697,                0.89365,                0.02817,                 0.1705,                0.06967,                0.03091,                 1.5934,                 3.1874,                0.88017,             0.00046246,             0.00046246,             0.00046246
                      3,                  1.485,                 1.2899,                0.87714,                0.05233,                0.33809,                0.19682,                0.09028,                 1.5694,                 2.4094,                0.87494,             0.00069989,             0.00069989,             0.00069989
                      4,                 1.4472,                 1.2099,                0.87546,                0.71527,                0.18157,                0.22539,                0.12974,                 1.3496,                 1.8114,                0.86763,             0.00093728,             0.00093728,             0.00093728
                      5,                 1.4484,                 1.1433,                0.86972,                0.71585,                0.19165,                0.23887,                0.14363,                 1.2875,                 1.6899,                0.85732,              0.0011746,              0.0011746,              0.0011746
                      6,                 1.4788,                 1.1435,                0.86878,                0.92734,                0.23319,                0.26137,                0.15246,                 1.3566,                  1.227,                0.87628,              0.0012495,              0.0012495,              0.0012495
